Number of qubits: 5
Training set size: 4096
Test set size: 4096
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 75
Training accuracy,Test accuracy,Parameters
0.32666015625,0.314208984375,"[ 0.14568514  0.69331247  0.55796595  0.76861867  0.04598269  0.02381494
  0.95757958  0.93752677  0.1133071   0.84412446  0.58662182  0.47760434
  0.61124014  0.28821915  0.43124212  0.16844418  0.05113594  0.10436857
  0.11392659  0.85369014  0.59110417  0.33812562  0.37339054  0.75190044
  0.34552233  0.53552763  0.41409476  0.49079092  0.36372973  0.54306955
  0.60796964  0.97204923  0.46833544  0.91470064  0.16379672  0.26372192
  0.47403256  0.61549456  0.37307482  0.75189786  0.82283739  0.99590089
  0.67775758  0.0462458   0.5375685   0.41188714  0.74076391  0.34278811
  0.92414179  0.62155666  0.68142078  0.58689468  0.21247234  0.88982887
  0.79044236  0.59087207  0.89524372  0.35545802  1.00920422  0.75382108
  0.46545913  0.85024207  0.04836006  0.68855085  0.07078717  0.93254083
  0.90589356  0.40190788  0.16286245  0.16135393  0.90975877  0.49061377
  0.56368172  0.64914779  0.54753277  0.77939018  0.93962344  0.85745835
  0.29080593  0.11651378  0.07479375  0.99413983  0.97114057  0.30917928
  0.57048111  0.71504079  0.39703452  0.65445158  0.96810632  0.41963218
  0.12694972 -0.01984522  0.47510626  0.78739816  0.47626404  0.05486804
  0.06877847  0.72915204  0.26302908  0.60099416]"
0.48046875,0.47119140625,"[ 0.14568514  0.70815636  0.54312207  0.75377478  0.04598269  0.02381494
  0.9427357   0.92268288  0.1133071   0.82928058  0.57177793  0.46276046
  0.59639626  0.27337526  0.41639824  0.15360029  0.06597983  0.11921245
  0.12877047  0.83884626  0.57626029  0.32328174  0.35854665  0.73705656
  0.34552233  0.52068374  0.42893864  0.5056348   0.37857362  0.55791343
  0.60796964  0.95720535  0.48317932  0.89985676  0.14895284  0.27856581
  0.47403256  0.60065068  0.38791871  0.73705398  0.80799351  1.01074478
  0.6629137   0.03140191  0.55241238  0.42673103  0.74076391  0.34278811
  0.92414179  0.60671277  0.69626467  0.5720508   0.22731622  0.87498498
  0.77559847  0.59087207  0.89524372  0.34061413  1.00920422  0.76866496
  0.46545913  0.86508596  0.06320395  0.68855085  0.05594329  0.91769695
  0.92073744  0.387064    0.14801856  0.14651005  0.92460265  0.50545765
  0.54883784  0.66399167  0.56237665  0.79423406  0.93962344  0.85745835
  0.27596205  0.11651378  0.05994987  0.97929595  0.97114057  0.29433539
  0.58532499  0.72988467  0.39703452  0.66929547  0.95326243  0.43447606
  0.14179361 -0.00500133  0.47510626  0.78739816  0.49110792  0.05486804
  0.06877847  0.74399593  0.26302908  0.61583804]"
0.35107421875,0.319091796875,"[ 1.21329384e-01  7.32512117e-01  5.43122069e-01  7.78130544e-01
  7.03384447e-02 -5.40815248e-04  9.18379941e-01  8.98327125e-01
  8.89513391e-02  8.29280577e-01  5.47422173e-01  4.38404699e-01
  5.72040500e-01  2.49019503e-01  3.92042478e-01  1.29244535e-01
  4.16240672e-02  1.19212449e-01  1.28770468e-01  8.14490496e-01
  5.51904526e-01  2.98925979e-01  3.82902414e-01  7.61412316e-01
  3.69878091e-01  4.96327985e-01  4.04582879e-01  4.81279045e-01
  3.54217858e-01  5.33557671e-01  6.32325404e-01  9.32849590e-01
  4.58823564e-01  9.24212519e-01  1.48952839e-01  3.02921568e-01
  4.98388315e-01  6.25006437e-01  3.87918706e-01  7.37053977e-01
  7.83637746e-01  9.86389017e-01  6.62913696e-01  3.14019124e-02
  5.28056623e-01  4.51086787e-01  7.65119672e-01  3.18432346e-01
  8.99786032e-01  5.82357013e-01  6.71908907e-01  5.96406560e-01
  2.02960465e-01  8.74984983e-01  7.75598475e-01  6.15227830e-01
  9.19599484e-01  3.16258375e-01  1.00920422e+00  7.68664963e-01
  4.89814886e-01  8.89441717e-01  6.32039461e-02  7.12906613e-01
  8.02990458e-02  8.93341188e-01  9.20737439e-01  4.11419757e-01
  1.48018563e-01  1.46510049e-01  9.00246889e-01  5.29813410e-01
  5.73193601e-01  6.63991670e-01  5.86732409e-01  8.18589822e-01
  9.39623438e-01  8.33102586e-01  2.51606288e-01  9.21580209e-02
  8.43056293e-02  9.79295951e-01  9.71140570e-01  3.18691154e-01
  6.09680749e-01  7.54240434e-01  4.21390283e-01  6.93651226e-01
  9.77618193e-01  4.58831819e-01  1.66149365e-01  1.93544252e-02
  4.50750498e-01  7.87398157e-01  4.91107921e-01  7.92238041e-02
  6.87784674e-02  7.43995926e-01  2.38673325e-01  5.91482283e-01]"
0.497802734375,0.489990234375,"[ 0.12132938  0.6802434   0.54312207  0.72586182  0.12260717 -0.05280954
  0.86611122  0.95059585  0.14122006  0.82928058  0.59969089  0.4384047
  0.51977178  0.19675078  0.33977376  0.12924454 -0.01064465  0.11921245
  0.07650175  0.86675922  0.4996358   0.3511947   0.43517114  0.81368104
  0.42214681  0.44405926  0.35231416  0.53354777  0.40648658  0.48128895
  0.58005668  0.98511831  0.51109229  0.92421252  0.14895284  0.30292157
  0.44611959  0.62500644  0.33564998  0.68478526  0.73136902  1.03865774
  0.71518242 -0.02086681  0.52805662  0.50335551  0.71285095  0.37070107
  0.84751731  0.53008829  0.67190891  0.64867528  0.20296046  0.87498498
  0.72332975  0.56295911  0.91959948  0.31625838  1.00920422  0.76866496
  0.54208361  0.94171044  0.01093522  0.76517534  0.02803032  0.84107247
  0.86846872  0.35915104  0.09574984  0.09424133  0.84797817  0.52981341
  0.52092488  0.71626039  0.58673241  0.81858982  0.99189216  0.78083386
  0.19933757  0.0398893   0.13657435  1.03156467  0.97114057  0.31869115
  0.60968075  0.80650916  0.36912156  0.6413825   0.92534947  0.4065631
  0.11388064 -0.0329143   0.50301922  0.78739816  0.54337664  0.13149253
  0.12104719  0.79626465  0.1864046   0.53921356]"
0.48583984375,0.507080078125,"[ 1.41712682e-01  6.59860099e-01  5.43122069e-01  7.46245120e-01
  1.22607166e-01 -3.24262398e-02  8.86494516e-01  9.50595846e-01
  1.20836764e-01  8.08897280e-01  5.79307598e-01  4.18021402e-01
  4.99388481e-01  1.76367485e-01  3.19390459e-01  1.08861238e-01
 -3.10279515e-02  1.39595746e-01  9.68850436e-02  8.46375920e-01
  4.79252507e-01  3.71577998e-01  4.14787838e-01  7.93297740e-01
  4.42530109e-01  4.44059264e-01  3.31930861e-01  5.33547767e-01
  3.86103282e-01  5.01672247e-01  6.00439979e-01  9.85118312e-01
  5.31475583e-01  9.03829222e-01  1.69336136e-01  3.02921568e-01
  4.25736296e-01  6.45389734e-01  3.15266687e-01  6.84785256e-01
  7.10985727e-01  1.05904104e+00  7.35565715e-01 -4.83512186e-04
  5.48439920e-01  5.23738805e-01  6.92467653e-01  3.50317770e-01
  8.27134014e-01  5.30088291e-01  6.71908907e-01  6.69058579e-01
  1.82577168e-01  8.74984983e-01  7.43713050e-01  5.62959109e-01
  9.39982781e-01  2.95875078e-01  1.00920422e+00  7.89048260e-01
  5.62466904e-01  9.62093735e-01  3.13185216e-02  7.65175335e-01
  7.64702718e-03  8.20689170e-01  8.88852015e-01  3.38767739e-01
  1.16133139e-01  7.38580304e-02  8.47978168e-01  5.09430113e-01
  5.41308177e-01  6.95877095e-01  5.86732409e-01  8.18589822e-01
  9.71508862e-01  8.01217161e-01  1.99337566e-01  3.98892992e-02
  1.16191054e-01  1.05194797e+00  9.50757273e-01  2.98307857e-01
  6.09680749e-01  8.06509155e-01  3.89504858e-01  6.20999207e-01
  9.25349472e-01  3.86179800e-01  1.34263941e-01 -1.25309994e-02
  4.82635923e-01  7.87398157e-01  5.22993346e-01  1.11109229e-01
  1.21047189e-01  7.96264648e-01  1.66021306e-01  5.59596858e-01]"
0.528076171875,0.507080078125,"[ 0.21450306  0.58706972  0.61591245  0.67345474  0.12260717 -0.10521662
  0.9592849   0.95059585  0.19362715  0.88168766  0.65209798  0.34523102
  0.4265981   0.24915787  0.39218084  0.18165162  0.04176243  0.06680536
  0.16967543  0.77358554  0.55204289  0.44436838  0.34199746  0.79329774
  0.51532049  0.44405926  0.40472124  0.60633815  0.3133129   0.57446263
  0.67323036  0.98511831  0.4586852   0.83103884  0.24212652  0.37571195
  0.4257363   0.57259935  0.38805707  0.61199487  0.63819534  1.05904104
  0.8083561  -0.07327389  0.6212303   0.52373881  0.69246765  0.27752739
  0.75434363  0.53008829  0.74469929  0.74184896  0.10978679  0.87498498
  0.67092267  0.56295911  0.93998278  0.36866546  0.93641384  0.71625788
  0.48967652  1.03488412 -0.04147186  0.69238495  0.08043741  0.89347955
  0.81606163  0.41155812  0.04334276  0.14664841  0.77518779  0.50943011
  0.61409856  0.62308671  0.51394203  0.8913802   0.89871848  0.80121716
  0.27212795  0.11267968  0.04340067  1.12473835  0.95075727  0.22551747
  0.60968075  0.80650916  0.38950486  0.62099921  0.99813985  0.45897018
  0.13426394 -0.012531    0.55542631  0.78739816  0.45020296  0.11110923
  0.04825681  0.79626465  0.09323092  0.63238724]"
0.479248046875,0.533447265625,"[ 0.31018539  0.58706972  0.61591245  0.57777241  0.2182895  -0.10521662
  1.05496723  0.85491352  0.09794482  0.88168766  0.55641565  0.34523102
  0.4265981   0.3448402   0.39218084  0.27733395  0.13744476 -0.02887697
  0.26535776  0.86926787  0.64772522  0.34868605  0.34199746  0.88898007
  0.41963816  0.53974159  0.30903891  0.70202048  0.3133129   0.67014496
  0.76891269  1.08080064  0.55436753  0.73535651  0.14644419  0.37571195
  0.52141863  0.57259935  0.4837394   0.61199487  0.63819534  0.96335871
  0.71267377 -0.16895622  0.52554797  0.61942113  0.78814998  0.37320972
  0.6586613   0.53008829  0.74469929  0.64616663  0.20546912  0.77930265
  0.766605    0.56295911  0.84430045  0.27298313  0.84073151  0.81194021
  0.39399419  1.13056645 -0.13715419  0.78806728  0.17611974  0.79779722
  0.7203793   0.50724045 -0.05233957  0.14664841  0.87087011  0.41374778
  0.70978089  0.52740438  0.60962436  0.8913802   0.80303615  0.89689949
  0.17644562  0.20836201 -0.05228166  1.02905602  0.85507494  0.22551747
  0.51399842  0.71082683  0.29382253  0.62099921  0.99813985  0.36328785
  0.13426394 -0.012531    0.45974398  0.88308049  0.35452063  0.20679156
 -0.04742552  0.79626465  0.18891325  0.63238724]"
0.588623046875,0.543701171875,"[ 0.31018539  0.58706972  0.61889345  0.57777241  0.2153085  -0.10223563
  1.05794822  0.85491352  0.09794482  0.88168766  0.55939665  0.34523102
  0.4265981   0.34782119  0.38919985  0.27435295  0.13446376 -0.02887697
  0.26237676  0.86628687  0.64474422  0.34570505  0.33901646  0.89196107
  0.41665717  0.53974159  0.30903891  0.69903948  0.3133129   0.67014496
  0.76891269  1.07781964  0.55436753  0.73535651  0.14942518  0.37273095
  0.51843763  0.56961836  0.4807584   0.61497587  0.64117634  0.96037771
  0.70969277 -0.17193722  0.52852897  0.62240213  0.78516899  0.37022872
  0.6586613   0.53306929  0.74171829  0.64616663  0.20845011  0.77632166
  0.76958599  0.55997811  0.84131946  0.27596413  0.83775052  0.81194021
  0.39697519  1.13354744 -0.13417319  0.79104828  0.17910074  0.79481623
  0.7203793   0.50724045 -0.04935858  0.14664841  0.86788912  0.41672878
  0.70978089  0.52442339  0.60664336  0.88839921  0.80601715  0.89391849
  0.17346462  0.21134301 -0.04930066  1.03203702  0.85209395  0.22849847
  0.51697942  0.71380782  0.29680353  0.6239802   1.00112085  0.36030686
  0.13724494 -0.00955     0.46272497  0.88009949  0.35153964  0.20679156
 -0.04742552  0.79328365  0.18593226  0.62940624]"
0.45751953125,0.440673828125,"[ 0.29800502  0.59925009  0.61889345  0.57777241  0.20312813 -0.10223563
  1.0701286   0.84273314  0.11012519  0.86950729  0.55939665  0.35741139
  0.43877847  0.33564082  0.38919985  0.27435295  0.12228339 -0.04105734
  0.25019639  0.8541065   0.64474422  0.33352468  0.33901646  0.87978069
  0.41665717  0.53974159  0.30903891  0.68685911  0.30113253  0.67014496
  0.75673232  1.06563927  0.5665479   0.72317614  0.13724481  0.36055058
  0.530618    0.56961836  0.46857803  0.62715624  0.62899597  0.96037771
  0.70969277 -0.17193722  0.5163486   0.61022176  0.77298861  0.38240909
  0.64648093  0.52088891  0.75389867  0.63398626  0.20845011  0.76414128
  0.78176637  0.54779774  0.82913908  0.2881445   0.82557014  0.82412058
  0.39697519  1.12136707 -0.14635357  0.80322865  0.16692036  0.79481623
  0.70819893  0.51942082 -0.06153895  0.13446804  0.88006949  0.42890915
  0.72196126  0.53660376  0.61882373  0.87621883  0.80601715  0.88173812
  0.17346462  0.22352338 -0.04930066  1.04421739  0.83991357  0.2163181
  0.52915979  0.7259882   0.28462315  0.61179983  1.01330122  0.36030686
  0.13724494  0.00263037  0.47490535  0.88009949  0.33935926  0.21897193
 -0.0596059   0.80546402  0.19811263  0.61722587]"
0.324462890625,0.359619140625,"[ 0.23439711  0.59925009  0.61889345  0.64138032  0.20312813 -0.10223563
  1.00652069  0.77912523  0.04651728  0.9331152   0.49578874  0.35741139
  0.50238638  0.39924873  0.32559194  0.33796086  0.1858913  -0.10466525
  0.18658848  0.79049859  0.64474422  0.26991677  0.40262437  0.87978069
  0.35304926  0.47613368  0.37264682  0.6232512   0.36474044  0.73375287
  0.69312441  1.00203136  0.63015581  0.65956823  0.13724481  0.42415849
  0.46701009  0.56961836  0.40497012  0.69076415  0.56538806  0.8967698
  0.70969277 -0.23554513  0.45274069  0.61022176  0.77298861  0.446017
  0.58287302  0.45728101  0.69029076  0.63398626  0.20845011  0.70053337
  0.84537428  0.61140565  0.82913908  0.22453659  0.88917805  0.76051267
  0.4605831   1.05775916 -0.20996148  0.86683656  0.10331245  0.79481623
  0.77180684  0.45581291 -0.12514686  0.07086013  0.88006949  0.49251706
  0.72196126  0.60021167  0.68243164  0.87621883  0.74240924  0.88173812
  0.23707253  0.15991547 -0.11290857  0.98060948  0.83991357  0.2163181
  0.46555188  0.7895961   0.34823106  0.54819192  1.07690913  0.42391477
  0.13724494  0.00263037  0.53851325  0.9437074   0.40296717  0.15536402
  0.00400201  0.80546402  0.13450472  0.68083378]"
