Number of qubits: 7
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 15
Training accuracy,Test accuracy,Parameters
0.166015625,0.197265625,"[0.88022178 0.31045523 0.68769091 0.6413587  0.23849981 0.92498037
 0.27361485 0.10846274 0.36165526 0.57059493 0.65595151 0.3019386
 0.82027653 0.56824772 0.00559343 0.9589346  0.82310362 0.94396927
 0.23898914 0.82221679]"
0.18359375,0.265625,"[0.8823093  0.30836771 0.68769091 0.64344622 0.24058733 0.92289284
 0.27570238 0.10846274 0.36374279 0.57059493 0.65386399 0.3019386
 0.818189   0.56616019 0.00768096 0.95684707 0.82310362 0.94188175
 0.24107666 0.82430431]"
0.30859375,0.302734375,"[0.87585963 0.31481737 0.68124125 0.63699656 0.23413767 0.91644318
 0.26925271 0.1149124  0.37019245 0.56414526 0.65386399 0.3019386
 0.82463867 0.57260986 0.00768096 0.95684707 0.82955329 0.93543208
 0.24107666 0.83075398]"
0.310546875,0.322265625,"[ 0.87585963  0.3474346   0.71385847  0.63699656  0.26675489  0.9490604
  0.30186994  0.1149124   0.33757523  0.53152804  0.62124676  0.33455583
  0.85725589  0.57260986 -0.02493627  0.9894643   0.82955329  0.90281486
  0.27369389  0.8633712 ]"
0.314453125,0.33984375,"[ 0.85715745  0.32873242  0.69515629  0.63699656  0.26675489  0.93035822
  0.32057212  0.13361458  0.33757523  0.55023022  0.60254458  0.33455583
  0.87595808  0.59131204 -0.00623409  0.97076211  0.84825547  0.88411267
  0.27369389  0.88207339]"
0.3515625,0.328125,"[ 0.88290869  0.30298117  0.72090753  0.63699656  0.24100365  0.95610946
  0.32057212  0.13361458  0.36332647  0.52447898  0.57679334  0.36030707
  0.85020683  0.5655608  -0.03198533  0.97076211  0.87400671  0.90986392
  0.27369389  0.85632214]"
0.3203125,0.3359375,"[ 0.87911585  0.29918833  0.71711469  0.63699656  0.23721081  0.95990231
  0.31677928  0.12982174  0.36332647  0.52447898  0.57300049  0.36409991
  0.84641399  0.5655608  -0.02819248  0.97455496  0.87021387  0.90607107
  0.27748673  0.85632214]"
0.359375,0.359375,"[ 0.86276727  0.29918833  0.73346327  0.62064798  0.22086223  0.97625089
  0.33312786  0.14617032  0.36332647  0.5081304   0.57300049  0.34775133
  0.84641399  0.58190938 -0.0118439   0.95820638  0.85386529  0.92241965
  0.27748673  0.83997356]"
0.390625,0.361328125,"[ 0.87027168  0.29168392  0.74096768  0.61314357  0.22086223  0.97625089
  0.32562345  0.13866591  0.37083088  0.50062599  0.5805049   0.34775133
  0.83890958  0.57440497 -0.00433949  0.95820638  0.84636088  0.92992406
  0.26998232  0.83997356]"
0.380859375,0.369140625,"[ 0.87027168  0.29168392  0.71883578  0.59101167  0.19873033  0.99838278
  0.30349155  0.16079781  0.34869898  0.50062599  0.55837301  0.36988323
  0.86104148  0.59653687 -0.00433949  0.95820638  0.82422898  0.90779216
  0.29211422  0.81784167]"
0.365234375,0.361328125,"[ 0.8597507   0.29168392  0.7083148   0.60153265  0.18820935  0.9878618
  0.30349155  0.17131879  0.35921996  0.51114697  0.55837301  0.38040421
  0.87156246  0.60705785 -0.01486048  0.95820638  0.813708    0.89727118
  0.3026352   0.81784167]"
0.373046875,0.376953125,"[0.8597507  0.27219357 0.68882445 0.5820423  0.168719   0.96837145
 0.2840012  0.17131879 0.37871032 0.49165662 0.57786336 0.36091386
 0.85207211 0.60705785 0.00462988 0.93871603 0.813708   0.87778083
 0.3026352  0.83733202]"
0.39453125,0.345703125,"[0.84018815 0.29175611 0.70838699 0.56247976 0.18828154 0.96837145
 0.26443866 0.17131879 0.35914777 0.47209408 0.57786336 0.3804764
 0.83250957 0.62662039 0.02419242 0.93871603 0.813708   0.89734337
 0.32219774 0.81776948]"
0.392578125,0.333984375,"[0.82040083 0.27196879 0.68859967 0.56247976 0.18828154 0.98815877
 0.28422598 0.17131879 0.3789351  0.4918814  0.59765068 0.40026373
 0.85229689 0.64640771 0.02419242 0.95850335 0.83349532 0.89734337
 0.30241042 0.8375568 ]"
0.37890625,0.365234375,"[0.79386064 0.27196879 0.66205947 0.53593957 0.18828154 1.01469897
 0.25768579 0.17131879 0.35239491 0.46534121 0.59765068 0.42680392
 0.85229689 0.67294791 0.05073261 0.93196316 0.80695513 0.92388356
 0.32895061 0.81101661]"
0.353515625,0.35546875,"[0.79386064 0.30422733 0.69431802 0.53593957 0.15602299 1.01469897
 0.28994434 0.13906024 0.35239491 0.49759975 0.56539213 0.39454537
 0.82003834 0.64068936 0.05073261 0.9642217  0.77469658 0.95614211
 0.36120916 0.77875806]"
0.36328125,0.3671875,"[0.7978566  0.30422733 0.69831399 0.5319436  0.15602299 1.01869493
 0.28594837 0.13506428 0.34839894 0.50159572 0.56539213 0.39854134
 0.81604238 0.63669339 0.04673664 0.9642217  0.77869255 0.95214614
 0.36120916 0.77476209]"
0.37890625,0.359375,"[0.7978566  0.30422733 0.69335242 0.53690517 0.15106143 1.02365649
 0.28098681 0.13010272 0.34343738 0.49663416 0.56043057 0.39854134
 0.82100394 0.64165495 0.05169821 0.9642217  0.77869255 0.94718458
 0.36617072 0.76980053]"
0.349609375,0.357421875,"[0.79285166 0.30422733 0.69835737 0.53190022 0.14605649 1.02866144
 0.28599175 0.12509777 0.34844232 0.5016391  0.56043057 0.40354628
 0.82600888 0.64165495 0.05670315 0.95921676 0.77368761 0.94718458
 0.36116578 0.76980053]"
0.37890625,0.3359375,"[0.77414992 0.28552559 0.69835737 0.51319848 0.12735474 1.00995969
 0.3046935  0.10639603 0.36714406 0.48293736 0.57913232 0.40354628
 0.82600888 0.6603567  0.05670315 0.94051502 0.77368761 0.96588633
 0.37986752 0.78850228]"
0.353515625,0.34765625,"[0.77414992 0.28272753 0.70115542 0.51599653 0.12455668 1.01275775
 0.30749155 0.10919408 0.36714406 0.48293736 0.57913232 0.40634433
 0.82880694 0.65755864 0.05390509 0.94331307 0.77368761 0.96868438
 0.37706947 0.79130033]"
0.392578125,0.35546875,"[0.76943211 0.27800972 0.70115542 0.51599653 0.11983888 1.01275775
 0.30277374 0.10447627 0.36242626 0.47821955 0.58385012 0.40162652
 0.82408913 0.65284083 0.04918728 0.94331307 0.7689698  0.96868438
 0.38178728 0.79601814]"
0.376953125,0.36328125,"[0.76943211 0.2781391  0.70115542 0.51586716 0.11996825 1.01262837
 0.30277374 0.10460565 0.36255563 0.47834892 0.58372075 0.4017559
 0.82421851 0.65297021 0.04931666 0.94344245 0.7689698  0.96868438
 0.3816579  0.79588876]"
