Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 45
Training accuracy,Test accuracy,Parameters
0.265625,0.205078125,"[0.56548931 0.3786529  0.34240071 0.9232406  0.26078406 0.4437226
 0.98032857 0.6571508  0.73220312 0.50847981 0.99176316 0.8723966
 0.54017829 0.24731314 0.79538443 0.71795423 0.08993883 0.88962964
 0.28608442 0.25088157 0.64192099 0.36191073 0.18949825 0.42593599
 0.78250975 0.19277679 0.48328303 0.07157166 0.60547437 0.59441537
 0.32632795 0.97890992 0.84613402 0.82420694 0.69737537 0.46400391
 0.40271393 0.44135329 0.45353685 0.4688068  0.97814595 0.84638448
 0.25004726 0.71696764 0.25375843 0.46272263 0.57721235 0.75304001
 0.55181846 0.88490428 0.22023257 0.19428476 0.20551912 0.17561951
 0.15443217 0.07918425 0.05487641 0.58918955 0.10961628 0.9198248 ]"
0.490234375,0.48046875,"[0.57386637 0.37027584 0.35077777 0.91486353 0.252407   0.4437226
 0.98870563 0.66552786 0.74058018 0.50847981 0.9833861  0.88077366
 0.53180123 0.24731314 0.78700737 0.71795423 0.09831589 0.8980067
 0.27770736 0.25925863 0.65029805 0.35353366 0.18949825 0.43431306
 0.77413269 0.20115386 0.47490597 0.07994872 0.60547437 0.60279244
 0.31795089 0.97890992 0.83775696 0.832584   0.69737537 0.45562685
 0.41109099 0.44135329 0.45353685 0.4688068  0.96976889 0.85476155
 0.25842432 0.70859058 0.24538136 0.46272263 0.58558941 0.76141708
 0.56019552 0.88490428 0.21185551 0.1859077  0.20551912 0.16724245
 0.16280924 0.07080719 0.06325347 0.58081248 0.10123921 0.9198248 ]"
0.625,0.541015625,"[0.53675884 0.37027584 0.35077777 0.95197107 0.252407   0.40661507
 1.02581316 0.7026354  0.77768771 0.50847981 1.02049363 0.88077366
 0.53180123 0.28442068 0.74989983 0.71795423 0.06120836 0.86089917
 0.31481489 0.2221511  0.65029805 0.3906412  0.15239071 0.47142059
 0.81124022 0.16404632 0.47490597 0.04284119 0.56836684 0.63989997
 0.28084336 0.94180238 0.87486449 0.832584   0.66026784 0.41851932
 0.44819853 0.40424575 0.41642931 0.43169927 1.00687642 0.89186908
 0.29553185 0.70859058 0.20827383 0.49983016 0.58558941 0.79852461
 0.52308799 0.84779675 0.21185551 0.22301523 0.24262666 0.13013492
 0.1257017  0.03369966 0.06325347 0.58081248 0.13834675 0.88271727]"
0.63671875,0.62890625,"[0.53053373 0.36405073 0.35700288 0.95197107 0.24618189 0.41284018
 1.03203827 0.69641029 0.78391282 0.50847981 1.01426852 0.88699877
 0.53180123 0.28442068 0.74367472 0.72417934 0.05498325 0.86089917
 0.31481489 0.22837621 0.64407295 0.38441609 0.15861582 0.4776457
 0.81124022 0.16404632 0.48113108 0.0490663  0.57459195 0.63989997
 0.27461825 0.93557727 0.86863938 0.83880911 0.66649295 0.42474443
 0.44197342 0.40424575 0.41642931 0.42547416 1.00065131 0.89809419
 0.28930674 0.70236547 0.20827383 0.49360505 0.5793643  0.7922995
 0.51686288 0.85402186 0.2056304  0.22301523 0.24262666 0.12390981
 0.11947659 0.03992477 0.05702837 0.58703759 0.13834675 0.88894237]"
0.626953125,0.564453125,"[0.50564099 0.36405073 0.38189562 0.95197107 0.24618189 0.43773292
 1.05693101 0.72130303 0.78391282 0.48358708 1.03916126 0.91189151
 0.55669397 0.28442068 0.71878199 0.74907208 0.07987599 0.86089917
 0.33970763 0.25326894 0.61918021 0.35952335 0.13372308 0.50253844
 0.81124022 0.18893906 0.45623834 0.07395904 0.59948469 0.66479271
 0.29951099 0.96047001 0.89353212 0.81391637 0.66649295 0.39985169
 0.41708068 0.40424575 0.44132205 0.4503669  1.00065131 0.92298693
 0.28930674 0.72725821 0.20827383 0.49360505 0.60425704 0.81719224
 0.49197014 0.82912912 0.23052314 0.24790797 0.24262666 0.14880255
 0.14436933 0.03992477 0.0819211  0.61193033 0.11345401 0.91383511]"
0.68359375,0.6171875,"[ 0.50564099  0.44406245  0.3018839   1.03198279  0.32619361  0.3577212
  1.13694273  0.80131475  0.78391282  0.5635988   0.95914954  0.83187979
  0.63670569  0.28442068  0.71878199  0.8290838   0.15988771  0.78088745
  0.25969591  0.17325722  0.69919193  0.27951163  0.2137348   0.50253844
  0.81124022  0.18893906  0.53625006  0.07395904  0.59948469  0.74480443
  0.21949927  1.04048173  0.97354384  0.73390465  0.74650467  0.31983997
  0.33706896  0.32423403  0.52133377  0.53037862  1.00065131  1.00299865
  0.36931846  0.72725821  0.12826211  0.49360505  0.68426876  0.81719224
  0.49197014  0.82912912  0.15051141  0.32791969  0.32263838  0.22881427
  0.22438105 -0.04008696  0.00190938  0.69194205  0.03344229  0.99384683]"
0.650390625,0.599609375,"[ 0.50564099  0.51925319  0.37707463  1.10717352  0.40138435  0.3577212
  1.061752    0.72612401  0.70872209  0.5635988   1.03434028  0.83187979
  0.71189642  0.35961141  0.64359125  0.90427454  0.23507844  0.70569671
  0.18450517  0.24844796  0.69919193  0.20432089  0.2137348   0.57772917
  0.81124022  0.11374833  0.46105932  0.14914977  0.52429395  0.81999516
  0.29469     1.04048173  1.04873458  0.65871391  0.67131393  0.31983997
  0.26187822  0.39942477  0.52133377  0.45518788  1.07584205  0.92780791
  0.29412773  0.72725821  0.05307137  0.56879579  0.75945949  0.7420015
  0.41677941  0.75393838  0.07532068  0.32791969  0.39782911  0.15362354
  0.22438105 -0.04008696  0.00190938  0.61675132  0.10863302  0.9186561 ]"
0.673828125,0.60546875,"[ 0.49270428  0.5321899   0.39001134  1.09423682  0.38844764  0.34478449
  1.061752    0.72612401  0.72165879  0.5765355   1.04727698  0.83187979
  0.69895972  0.35961141  0.63065454  0.90427454  0.24801515  0.70569671
  0.19744188  0.24844796  0.71212864  0.2172576   0.22667151  0.59066588
  0.79830351  0.12668503  0.47399603  0.13621306  0.53723066  0.81999516
  0.30762671  1.04048173  1.06167129  0.64577721  0.65837723  0.33277667
  0.24894152  0.41236148  0.50839707  0.45518788  1.06290534  0.91487121
  0.30706443  0.7143215   0.06600808  0.56879579  0.75945949  0.7290648
  0.4038427   0.74100168  0.07532068  0.32791969  0.38489241  0.16656024
  0.22438105 -0.05302366 -0.01102732  0.60381461  0.09569632  0.90571939]"
0.6484375,0.595703125,"[ 0.49270428  0.5321899   0.38699535  1.09725281  0.38543164  0.34176849
  1.058736    0.72310802  0.72165879  0.57351951  1.05029298  0.83489578
  0.70197571  0.36262741  0.63065454  0.90729053  0.25103115  0.70569671
  0.19744188  0.24844796  0.70911264  0.2202736   0.22667151  0.59066588
  0.80131951  0.12366904  0.47098004  0.13922906  0.53421466  0.82301116
  0.3106427   1.04349773  1.05865529  0.64577721  0.65837723  0.33277667
  0.24592552  0.41537747  0.50538107  0.45217189  1.05988935  0.91487121
  0.31008043  0.71733749  0.06902408  0.57181178  0.7564435   0.7290648
  0.4038427   0.73798568  0.07230469  0.3249037   0.38187641  0.16354425
  0.22136506 -0.05000767 -0.00801133  0.60683061  0.09871231  0.9027034 ]"
0.712890625,0.62109375,"[ 0.49084201  0.53032762  0.38513307  1.09539054  0.38729392  0.34363077
  1.06059828  0.72310802  0.72165879  0.57165724  1.04843071  0.83489578
  0.70383799  0.36076513  0.62879227  0.90729053  0.24916887  0.70383444
  0.19930416  0.24844796  0.71097491  0.22213587  0.22853378  0.58880361
  0.79945723  0.12180677  0.46911776  0.13736679  0.53235239  0.82301116
  0.31250498  1.04536     1.05865529  0.64391493  0.6602395   0.33277667
  0.24406325  0.4135152   0.5035188   0.45403416  1.05988935  0.91673348
  0.31008043  0.71919977  0.06902408  0.56994951  0.7564435   0.7290648
  0.40570497  0.73612341  0.07044241  0.32676597  0.38001414  0.16168197
  0.21950279 -0.04814539 -0.0098736   0.60683061  0.09685004  0.9027034 ]"
0.576171875,0.552734375,"[ 0.57509483  0.44607481  0.30088026  1.01113772  0.47154673  0.42788358
  1.06059828  0.80736083  0.80591161  0.48740442  1.04843071  0.9191486
  0.70383799  0.44501795  0.62879227  0.90729053  0.16491606  0.61958163
  0.28355697  0.16419514  0.79522773  0.13788305  0.3127866   0.50455079
  0.71520442  0.03755395  0.38486495  0.2216196   0.61660521  0.82301116
  0.31250498  0.96110719  1.14290811  0.55966212  0.74449231  0.33277667
  0.15981043  0.32926238  0.5035188   0.53828698  0.97563653  0.83248066
  0.31008043  0.80345258  0.15327689  0.56994951  0.67219068  0.7290648
  0.40570497  0.82037622  0.15469523  0.24251316  0.38001414  0.07742916
  0.13524997 -0.13239821  0.07437921  0.60683061  0.01259722  0.98695621]"
0.5625,0.53515625,"[ 0.62652732  0.49750731  0.30088026  0.95970522  0.42011423  0.47931608
  1.00916578  0.85879333  0.80591161  0.43597192  0.99699821  0.9705811
  0.65240549  0.39358545  0.62879227  0.85585803  0.16491606  0.67101413
  0.28355697  0.11276264  0.74379523  0.18931555  0.3642191   0.55598329
  0.76663692  0.03755395  0.33343245  0.1701871   0.61660521  0.87444366
  0.36393747  1.01253969  1.1943406   0.50822962  0.74449231  0.38420917
  0.15981043  0.38069488  0.5549513   0.53828698  0.97563653  0.78104817
  0.25864793  0.80345258  0.10184439  0.56994951  0.67219068  0.6776323
  0.35427247  0.76894373  0.10326273  0.29394566  0.32858164  0.02599666
  0.18668247 -0.18383071  0.02294671  0.60683061 -0.03883528  0.93552371]"
0.642578125,0.595703125,"[ 0.67868866  0.54966864  0.24871892  0.90754389  0.42011423  0.53147741
  1.00916578  0.91095467  0.85807294  0.38381059  1.04915954  0.91841977
  0.70456682  0.44574678  0.57663094  0.90801937  0.16491606  0.72317546
  0.28355697  0.11276264  0.74379523  0.13715422  0.41638043  0.50382196
  0.76663692 -0.01460738  0.28127112  0.11802577  0.56444387  0.82228232
  0.31177614  1.06470102  1.1943406   0.50822962  0.74449231  0.33204784
  0.1076491   0.43285621  0.50278996  0.59044831  0.9234752   0.8332095
  0.2064866   0.75129125  0.15400573  0.56994951  0.72435202  0.72979363
  0.35427247  0.82110506  0.05110139  0.29394566  0.38074297  0.07815799
  0.13452114 -0.23599204  0.02294671  0.60683061 -0.09099661  0.98768505]"
0.716796875,0.6640625,"[ 0.66377844  0.56457886  0.23380871  0.92245411  0.43502445  0.53147741
  0.99425556  0.89604445  0.87298316  0.36890037  1.03424932  0.93332998
  0.71947704  0.44574678  0.57663094  0.92292958  0.15000584  0.70826524
  0.29846719  0.09785243  0.72888501  0.122244    0.41638043  0.50382196
  0.7517267  -0.01460738  0.29618133  0.11802577  0.57935409  0.80737211
  0.29686592  1.0497908   1.20925082  0.4933194   0.7295821   0.34695806
  0.09273888  0.43285621  0.51770018  0.59044831  0.90856498  0.8332095
  0.22139681  0.73638103  0.15400573  0.58485973  0.7094418   0.74470385
  0.36918269  0.83601528  0.03619118  0.29394566  0.38074297  0.06324778
  0.11961092 -0.25090226  0.0080365   0.60683061 -0.09099661  1.00259527]"
0.712890625,0.681640625,"[ 0.66377844  0.6182918   0.28752165  0.97616705  0.48873739  0.58519035
  1.0479685   0.84233151  0.81927022  0.31518743  0.98053638  0.98704292
  0.71947704  0.39203384  0.522918    0.92292958  0.20371878  0.6545523
  0.24475425  0.15156537  0.78259795  0.17595694  0.47009337  0.50382196
  0.80543964 -0.01460738  0.34989427  0.17173871  0.52564115  0.80737211
  0.24315298  0.99607786  1.26296376  0.43960646  0.67586916  0.40067099
  0.09273888  0.48656915  0.57141312  0.64416125  0.96227792  0.77949656
  0.22139681  0.73638103  0.20771866  0.63857267  0.7094418   0.69099091
  0.42289563  0.78230234 -0.01752176  0.29394566  0.32703003  0.06324778
  0.11961092 -0.25090226  0.06174943  0.60683061 -0.14470955  0.94888233]"
0.677734375,0.6640625,"[ 0.66377844  0.56589109  0.33992235  0.92376634  0.5411381   0.63759106
  0.99556779  0.89473222  0.76686951  0.31518743  0.98053638  1.03944363
  0.66707633  0.39203384  0.5753187   0.97533029  0.15131807  0.6545523
  0.29715496  0.15156537  0.83499866  0.22835765  0.47009337  0.45142125
  0.80543964 -0.06700809  0.29749357  0.119338    0.47324044  0.85977281
  0.19075228  0.94367716  1.26296376  0.49200717  0.72826986  0.4530717
  0.04033817  0.43416845  0.51901241  0.69656196  1.01467863  0.83189727
  0.22139681  0.78878174  0.26011937  0.69097338  0.76184251  0.69099091
  0.47529634  0.72990163  0.03487895  0.24154495  0.32703003  0.01084707
  0.11961092 -0.30330297  0.00934873  0.60683061 -0.19711026  0.94888233]"
0.732421875,0.671875,"[ 6.99028717e-01  6.01141365e-01  3.75172629e-01  9.23766340e-01
  5.41138097e-01  6.02340785e-01  9.95567792e-01  9.29982493e-01
  7.31619237e-01  3.50437709e-01  9.45286108e-01  1.00419335e+00
  6.31826054e-01  4.27284120e-01  6.10568981e-01  1.01058057e+00
  1.51318072e-01  6.19302026e-01  2.97154956e-01  1.51565365e-01
  7.99748383e-01  2.28357648e-01  5.05343647e-01  4.16170972e-01
  8.40689914e-01 -3.17578133e-02  2.62243289e-01  1.19338001e-01
  4.37990166e-01  8.95023091e-01  1.55502001e-01  9.08426879e-01
  1.26296376e+00  4.92007169e-01  7.28269864e-01  4.53071702e-01
  5.08789727e-03  4.69418722e-01  4.83762137e-01  7.31812234e-01
  9.79428352e-01  8.67147544e-01  2.56647091e-01  8.24032014e-01
  2.95369649e-01  6.55723099e-01  7.61842508e-01  7.26241187e-01
  4.75296336e-01  7.65151907e-01 -3.71330893e-04  2.76795224e-01
  2.91779759e-01  4.60973456e-02  1.54861195e-01 -3.03302967e-01
 -2.59015492e-02  6.42080882e-01 -1.61859981e-01  9.84132603e-01]"
