Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 15
Training accuracy,Test accuracy,Parameters
0.263671875,0.234375,"[0.38132587 0.54156876 0.43851897 0.3198773  0.65569032 0.27909185
 0.3240832  0.17892059 0.80717361 0.34827932 0.41405665 0.59172186
 0.91192145 0.46948064 0.94360712 0.05229687 0.20330105 0.1871489
 0.04857227 0.50482146]"
0.330078125,0.333984375,"[0.38132587 0.56425242 0.41583531 0.34256096 0.67837398 0.25640819
 0.34676686 0.20160425 0.82985727 0.32559566 0.41405665 0.59172186
 0.91192145 0.4921643  0.96629078 0.02961321 0.18061739 0.20983256
 0.07125593 0.50482146]"
0.375,0.369140625,"[0.38664144 0.56956799 0.42115088 0.34256096 0.68368955 0.26172375
 0.35208242 0.20160425 0.82454171 0.33091122 0.41405665 0.59703743
 0.91723701 0.4921643  0.97160635 0.02429764 0.17530182 0.21514812
 0.06594036 0.50482146]"
0.4296875,0.392578125,"[0.40697757 0.56956799 0.44148701 0.34256096 0.68368955 0.28205989
 0.33174628 0.18126811 0.82454171 0.35124736 0.43439279 0.57670129
 0.89690087 0.4921643  0.99194249 0.0039615  0.19563796 0.19481198
 0.04560422 0.48448532]"
0.486328125,0.4296875,"[0.40540053 0.56799094 0.44306406 0.34098391 0.6821125  0.28205989
 0.33016924 0.18284515 0.82296466 0.35124736 0.43439279 0.57512424
 0.89847792 0.49374134 0.99036544 0.0039615  0.19406091 0.19323494
 0.04402718 0.48448532]"
0.525390625,0.458984375,"[0.39954936 0.56213978 0.43721289 0.34683508 0.6821125  0.28205989
 0.33016924 0.17699399 0.82881583 0.35124736 0.42854162 0.58097541
 0.90432909 0.49959251 0.99621661 0.0039615  0.18820975 0.1990861
 0.04987834 0.49033649]"
0.546875,0.515625,"[ 0.40809086  0.57068127  0.4286714   0.34683508  0.690654    0.27351839
  0.33871073  0.17699399  0.82881583  0.35978886  0.43708312  0.58097541
  0.89578759  0.50813401  0.98767511 -0.00457999  0.17966825  0.19054461
  0.04987834  0.49887799]"
0.56640625,0.513671875,"[ 0.40809086  0.57068127  0.41904358  0.3564629   0.68102618  0.27351839
  0.34833855  0.16736617  0.83844364  0.35016104  0.4274553   0.59060323
  0.88615977  0.51776182  0.97804729 -0.01420781  0.17966825  0.19054461
  0.04025053  0.48925017]"
0.576171875,0.533203125,"[ 0.41266172  0.57068127  0.41447272  0.35189203  0.68559705  0.26894753
  0.35290941  0.16279531  0.83387278  0.34559018  0.42288444  0.59060323
  0.89073064  0.52233268  0.97347643 -0.00963695  0.17966825  0.19054461
  0.04482139  0.48925017]"
0.587890625,0.5546875,"[ 0.38552255  0.54354211  0.41447272  0.3790312   0.68559705  0.26894753
  0.32577024  0.13565614  0.83387278  0.31845101  0.42288444  0.61774239
  0.86359147  0.54947185  1.0006156  -0.03677611  0.20680742  0.21768377
  0.01768222  0.462111  ]"
