Number of qubits: 10
Training set size: 512
Test set size: 512
Number of features: 20
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 150
Training accuracy,Test accuracy,Parameters
0.056640625,0.025390625,"[0.84247576 0.56583621 0.73302169 0.64105366 0.51901406 0.60852854
 0.68818129 0.28672374 0.80343219 0.31105893 1.0116173  0.21492618
 0.20490506 0.97837281 0.56698322 0.43557378 0.78304689 0.81174653
 0.31924631 0.94857302 0.70629842 0.00871959 0.23803005 0.13223645
 0.72498254 0.51565516 0.624432   0.64438624 0.6256022  0.67685093
 0.21513338 0.22500722 0.4810497  0.58234486 0.3215289  0.97356952
 0.21483617 0.83613261 0.26981852 0.45818904 1.01298563 0.52596948
 0.50644598 0.18850583 0.54625982 0.3714294  0.18996483 0.14723823
 0.64144674 0.103414   0.28561202 0.17353013 0.06295947 0.77955619
 0.12864586 0.34619237 0.26327428 0.64770866 0.30696576 0.26568612
 0.30156208 0.83300952 0.87260942 0.22357002 0.93618151 0.9844326
 0.37681795 0.17939512 0.0883468  0.26179187 0.10016208 0.12683149
 0.14799032 0.05295516 0.23003911 0.25332577 0.93927406 0.01452036
 0.57460512 0.61454664 0.77913703 0.44554848 0.10987601 0.76130562
 0.72248753 0.58066281 0.28575822 0.04770012 0.00866644 0.81338783
 0.42263142 0.93701297 0.44697234 0.18527621 0.20011469 0.23544796
 0.60618486 0.9113375  0.45652189 0.91204332 0.52523691 0.19278903
 0.08542095 0.88547575 0.65715931 0.18619147 0.47452297 0.95658869
 0.66745612 0.87852059 0.17721875 0.11081827 0.20617574 0.63776927
 0.88725605 0.16183959 0.05300175 0.66279703 0.62105575 0.10125966
 0.68211851 0.79174704 0.8475283  0.49623559 0.6640212  0.9529436
 0.90135486 0.33564006 0.09500579 0.23353739 0.35209167 0.63322941
 0.18885016 0.62158994 0.44290565 0.87641009 0.1308458  0.03938725
 0.66790124 0.02911668 0.71116316 0.69239987 0.79009485 0.92630205
 0.26318566 0.06172578 0.47063372 1.00976136 0.16810564 0.73556931
 0.3838352  0.19046673 0.21146312 0.42660197 0.92919991 0.67944088
 0.5715026  0.37941831 0.26754725 0.96710346 0.97075575 0.04582174
 0.35462126 0.80468059 0.85061889 0.92788014 0.62479513 0.51052248
 0.34348203 0.5461535  0.26182273 0.88727742 0.59266528 0.51728591
 0.31331414 0.44796815 0.10316367 0.80680861 0.57381546 0.8910766
 0.24434527 0.73382133 0.21289399 0.18540367 0.04628549 0.81633463
 0.92348393 0.80490296 0.55327611 0.81389895 0.57040453 0.24909772
 0.61899695 0.58964311 0.02152258 0.67493395 0.97337402 0.23112346
 0.09278418 0.74678098]"
0.130859375,0.07421875,"[0.84878434 0.57214478 0.72671311 0.64105366 0.51270549 0.60852854
 0.68187271 0.28041516 0.80343219 0.3173675  1.0116173  0.2086176
 0.20490506 0.97206423 0.57329179 0.43557378 0.78935547 0.81805511
 0.31293773 0.94857302 0.69998984 0.00871959 0.24433863 0.13223645
 0.71867396 0.52196374 0.63074058 0.63807767 0.63191077 0.67054235
 0.22144196 0.21869865 0.4810497  0.58234486 0.3215289  0.9798781
 0.22114474 0.84244119 0.26350994 0.46449761 1.01929421 0.53227805
 0.50644598 0.18219725 0.53995124 0.36512083 0.1962734  0.15354681
 0.64144674 0.10972258 0.29192059 0.1798387  0.05665089 0.78586476
 0.12233728 0.33988379 0.26327428 0.65401724 0.31327434 0.27199469
 0.30787065 0.82670094 0.86630084 0.2298786  0.94249008 0.9844326
 0.38312653 0.17939512 0.0883468  0.26810044 0.10647066 0.13314007
 0.15429889 0.05926373 0.23634768 0.25332577 0.93296548 0.02082894
 0.56829654 0.60823806 0.7854456  0.4392399  0.11618459 0.75499704
 0.72248753 0.58066281 0.28575822 0.04770012 0.00235786 0.81969641
 0.42894    0.93070439 0.45328091 0.17896763 0.19380612 0.22913938
 0.61249343 0.90502892 0.45021331 0.9183519  0.53154549 0.19909761
 0.08542095 0.89178433 0.66346789 0.19250004 0.47452297 0.95028011
 0.6737647  0.87221201 0.18352733 0.11712684 0.21248432 0.63776927
 0.88725605 0.15553101 0.05300175 0.66279703 0.62105575 0.10125966
 0.67580993 0.79805561 0.85383688 0.48992702 0.67032977 0.9529436
 0.90135486 0.32933148 0.10131437 0.23353739 0.35840025 0.63953799
 0.19515874 0.62158994 0.43659707 0.88271867 0.1308458  0.04569582
 0.66159266 0.02280811 0.71747174 0.68609129 0.79640343 0.93261063
 0.25687708 0.05541721 0.4769423  1.00976136 0.16179706 0.74187789
 0.37752662 0.19046673 0.20515454 0.43291055 0.92289133 0.68574946
 0.56519402 0.37310974 0.26754725 0.97341204 0.96444717 0.03951316
 0.34831268 0.79837201 0.85692747 0.92157156 0.62479513 0.51683106
 0.34348203 0.55246208 0.26182273 0.893586   0.59266528 0.52359449
 0.30700556 0.44165958 0.10316367 0.80050003 0.56750688 0.89738518
 0.24434527 0.73382133 0.21289399 0.18540367 0.05259406 0.8226432
 0.92979251 0.79859438 0.54696753 0.80759037 0.56409596 0.2554063
 0.61268837 0.59595168 0.02783116 0.66862537 0.96706544 0.23743204
 0.09278418 0.74678098]"
0.361328125,0.2890625,"[ 0.84878434  0.57214478  0.7506753   0.61709147  0.53666768  0.60852854
  0.65791052  0.25645297  0.77947     0.29340531  0.98765511  0.18465541
  0.20490506  0.99602643  0.5493296   0.41161159  0.81331766  0.81805511
  0.33689992  0.92461083  0.67602765  0.00871959  0.26830082  0.15619864
  0.74263615  0.52196374  0.65470277  0.66203986  0.60794858  0.67054235
  0.22144196  0.19473645  0.45708751  0.60630705  0.3454911   1.00384029
  0.19718255  0.84244119  0.28747213  0.44053542  1.0432564   0.55624025
  0.50644598  0.20615944  0.56391343  0.34115863  0.17231121  0.177509
  0.66540894  0.08576038  0.29192059  0.15587651  0.0326887   0.80982696
  0.09837509  0.33988379  0.23931209  0.67797943  0.31327434  0.2480325
  0.28390846  0.80273875  0.86630084  0.20591641  0.96645228  1.00839479
  0.40708872  0.20335731  0.11230899  0.24413825  0.13043285  0.10917788
  0.17826109  0.05926373  0.26030988  0.22936358  0.90900328 -0.00313326
  0.54433435  0.63220025  0.8094078   0.41527771  0.0922224   0.75499704
  0.69852534  0.58066281  0.26179602  0.07166231  0.00235786  0.8436586
  0.4049778   0.9067422   0.42931872  0.15500544  0.21776831  0.25310157
  0.61249343  0.90502892  0.42625112  0.89438971  0.53154549  0.19909761
  0.06145876  0.89178433  0.6395057   0.19250004  0.45056077  0.97424231
  0.64980251  0.84824982  0.20748952  0.14108904  0.21248432  0.66173146
  0.88725605  0.15553101  0.05300175  0.63883483  0.59709356  0.12522185
  0.65184774  0.79805561  0.85383688  0.51388921  0.67032977  0.97690579
  0.92531705  0.30536929  0.10131437  0.25749958  0.35840025  0.61557579
  0.17119655  0.64555213  0.41263488  0.90668086  0.15480799  0.02173363
  0.63763047  0.02280811  0.69350954  0.68609129  0.77244123  0.93261063
  0.28083927  0.03145501  0.45298011  1.03372355  0.13783487  0.7179157
  0.40148881  0.21442892  0.18119235  0.43291055  0.94685353  0.66178727
  0.54123183  0.37310974  0.24358506  0.94944985  0.98840936  0.06347536
  0.32435049  0.8223342   0.88088966  0.89760937  0.64875732  0.54079325
  0.31951983  0.57642427  0.28578492  0.8696238   0.59266528  0.4996323
  0.30700556  0.41769738  0.12712586  0.80050003  0.54354469  0.92134737
  0.24434527  0.75778352  0.21289399  0.18540367  0.05259406  0.8226432
  0.92979251  0.79859438  0.57092973  0.78362818  0.54013376  0.23144411
  0.63665056  0.61991388  0.00386897  0.64466318  0.94310325  0.21346985
  0.09278418  0.72281879]"
0.341796875,0.3359375,"[ 0.83505785  0.5584183   0.73694882  0.60336498  0.52294119  0.60852854
  0.671637    0.24272649  0.77947     0.3071318   0.97392863  0.18465541
  0.21863154  0.99602643  0.56305608  0.39788511  0.81331766  0.81805511
  0.33689992  0.91088435  0.68975413 -0.00500689  0.26830082  0.14247216
  0.74263615  0.53569022  0.64097629  0.64831338  0.5942221   0.67054235
  0.20771548  0.18100997  0.44336103  0.59258057  0.35921758  1.01756678
  0.21090904  0.82871471  0.28747213  0.44053542  1.02952992  0.55624025
  0.50644598  0.20615944  0.56391343  0.35488512  0.15858473  0.177509
  0.67913542  0.09948687  0.30564708  0.14215003  0.0326887   0.79610047
  0.0846486   0.35361028  0.22558561  0.67797943  0.29954786  0.2480325
  0.29763494  0.78901226  0.85257436  0.20591641  0.95272579  0.9946683
  0.40708872  0.20335731  0.0985825   0.24413825  0.14415933  0.09545139
  0.17826109  0.07299022  0.27403636  0.24309006  0.90900328 -0.01685974
  0.55806083  0.63220025  0.79568131  0.42900419  0.07849591  0.76872352
  0.71225182  0.5943893   0.24806954  0.05793583 -0.01136862  0.85738508
  0.4049778   0.89301572  0.42931872  0.14127896  0.20404182  0.25310157
  0.62621992  0.89130244  0.42625112  0.88066322  0.51781901  0.18537113
  0.07518524  0.87805784  0.6395057   0.17877356  0.46428726  0.98796879
  0.64980251  0.83452334  0.221216    0.12736255  0.19875783  0.67545794
  0.88725605  0.14180453  0.03927527  0.65256132  0.58336708  0.13894834
  0.66557423  0.78432913  0.84011039  0.52761569  0.68405626  0.97690579
  0.93904354  0.31909577  0.11504085  0.25749958  0.37212673  0.62930228
  0.18492303  0.63182565  0.42636137  0.89295438  0.14108151  0.03546011
  0.62390398  0.03653459  0.67978306  0.69981778  0.78616772  0.94633711
  0.28083927  0.01772853  0.46670659  1.03372355  0.12410839  0.73164218
  0.40148881  0.21442892  0.16746587  0.44663703  0.94685353  0.67551375
  0.52750534  0.35938325  0.24358506  0.93572337  0.97468288  0.06347536
  0.32435049  0.83606068  0.89461614  0.88388288  0.63503084  0.55451974
  0.30579335  0.59015075  0.28578492  0.88335029  0.60639176  0.48590581
  0.32073204  0.43142387  0.14085234  0.80050003  0.52981821  0.92134737
  0.25807175  0.75778352  0.22662047  0.17167718  0.03886758  0.80891672
  0.94351899  0.7848679   0.58465621  0.79735467  0.55386025  0.23144411
  0.62292408  0.60618739 -0.00985752  0.6309367   0.92937677  0.19974337
  0.09278418  0.70909231]"
0.404296875,0.390625,"[ 0.83505785  0.5584183   0.74754851  0.61396468  0.5123415   0.61912823
  0.671637    0.25332618  0.76887031  0.31773149  0.98452832  0.18465541
  0.20803185  1.00662612  0.55245639  0.38728541  0.82391736  0.80745541
  0.32630023  0.90028465  0.68975413 -0.01560659  0.25770113  0.15307185
  0.73203646  0.54628992  0.65157598  0.65891307  0.5942221   0.65994265
  0.21831517  0.18100997  0.45396072  0.60318026  0.36981727  1.02816647
  0.22150873  0.82871471  0.29807183  0.44053542  1.01893023  0.55624025
  0.50644598  0.20615944  0.56391343  0.35488512  0.16918442  0.16690931
  0.67913542  0.08888717  0.31624677  0.13155033  0.0326887   0.79610047
  0.07404891  0.34301058  0.2361853   0.66737974  0.28894816  0.25863219
  0.30823464  0.77841257  0.86317405  0.2165161   0.9421261   0.9946683
  0.39648903  0.19275762  0.1091822   0.23353856  0.14415933  0.10605109
  0.16766139  0.07299022  0.26343667  0.23249037  0.89840359 -0.00626005
  0.55806083  0.62160056  0.80628101  0.42900419  0.07849591  0.77932322
  0.72285152  0.60498899  0.24806954  0.05793583 -0.02196832  0.85738508
  0.4049778   0.88241603  0.42931872  0.15187865  0.20404182  0.24250188
  0.62621992  0.88070274  0.43685081  0.87006353  0.51781901  0.18537113
  0.08578494  0.87805784  0.628906    0.18937325  0.45368756  0.9773691
  0.64980251  0.83452334  0.2318157   0.11676286  0.18815814  0.66485825
  0.88725605  0.15240422  0.03927527  0.65256132  0.59396677  0.12834864
  0.65497453  0.77372944  0.8295107   0.517016    0.67345656  0.9663061
  0.94964323  0.32969547  0.12564054  0.26809927  0.38272642  0.62930228
  0.18492303  0.64242534  0.41576167  0.88235468  0.15168121  0.02486042
  0.61330429  0.02593489  0.67978306  0.69981778  0.79676741  0.93573742
  0.27023958  0.02832822  0.4561069   1.04432325  0.13470808  0.72104249
  0.40148881  0.20382922  0.17806556  0.43603734  0.93625383  0.67551375
  0.53810504  0.34878356  0.23298537  0.92512367  0.98528257  0.06347536
  0.3137508   0.83606068  0.90521584  0.89448258  0.63503084  0.54392004
  0.31639304  0.57955106  0.29638462  0.89394998  0.59579207  0.47530612
  0.31013235  0.44202356  0.13025265  0.81109973  0.51921851  0.92134737
  0.26867145  0.76838322  0.23722016  0.18227688  0.02826789  0.81951641
  0.9329193   0.79546759  0.57405652  0.79735467  0.56445994  0.22084441
  0.61232439  0.5955877  -0.02045721  0.64153639  0.93997646  0.18914367
  0.08218449  0.70909231]"
0.373046875,0.36328125,"[ 0.83095466  0.56252149  0.74344532  0.60986148  0.5123415   0.62323142
  0.671637    0.24922299  0.76887031  0.32183468  0.98452832  0.1887586
  0.21213504  1.01072931  0.5483532   0.39138861  0.81981416  0.80335222
  0.33040342  0.89618146  0.68565094 -0.01560659  0.25770113  0.15717505
  0.72793326  0.54218672  0.65567917  0.65480988  0.5942221   0.65583946
  0.22241836  0.17690678  0.45396072  0.59907707  0.37392047  1.02816647
  0.21740554  0.82461151  0.29396863  0.44463862  1.01893023  0.55624025
  0.50644598  0.21026264  0.56801663  0.35898831  0.16508123  0.1710125
  0.67503223  0.08478398  0.31624677  0.12744714  0.03679189  0.79199728
  0.0781521   0.34301058  0.23208211  0.66327655  0.29305136  0.254529
  0.31233783  0.77430938  0.86727725  0.21241291  0.93802291  0.9987715
  0.40059222  0.19275762  0.11328539  0.22943536  0.14005614  0.10194789
  0.17176459  0.07709341  0.25933347  0.22838717  0.8943004  -0.00626005
  0.55395764  0.62570375  0.80217781  0.424901    0.08259911  0.78342641
  0.71874832  0.60498899  0.25217273  0.05383263 -0.02607151  0.85328189
  0.40087461  0.88241603  0.43342192  0.15598184  0.19993863  0.24660507
  0.62211672  0.87659955  0.43274762  0.87416672  0.51781901  0.18126793
  0.08168174  0.87805784  0.6330092   0.18937325  0.44958437  0.9732659
  0.6539057   0.83452334  0.23591889  0.11676286  0.18405495  0.66896144
  0.88725605  0.15650741  0.03927527  0.65666451  0.59806996  0.12424545
  0.65087134  0.77372944  0.82540751  0.517016    0.67345656  0.97040929
  0.94554004  0.32969547  0.12153735  0.26399608  0.38272642  0.63340547
  0.18081984  0.64242534  0.41576167  0.88235468  0.14757801  0.02896361
  0.61330429  0.0218317   0.67978306  0.69571458  0.79266422  0.93573742
  0.26613639  0.02422503  0.46021009  1.04022006  0.13060489  0.72514568
  0.40559201  0.20793242  0.17806556  0.44014053  0.93625383  0.67961694
  0.53400184  0.34468037  0.23708856  0.92922686  0.98938577  0.05937216
  0.31785399  0.83606068  0.90521584  0.89037938  0.63092764  0.53981685
  0.31639304  0.58365425  0.29228142  0.88984679  0.59168888  0.47120293
  0.31013235  0.44202356  0.13435584  0.80699653  0.51511532  0.92545057
  0.26867145  0.77248641  0.23311697  0.18638007  0.02826789  0.81541322
  0.93702249  0.7913644   0.57405652  0.79325147  0.56445994  0.22084441
  0.61232439  0.5914845  -0.01635402  0.64563959  0.94407965  0.19324687
  0.07808129  0.70909231]"
0.443359375,0.408203125,"[ 0.83983186  0.55364429  0.75232252  0.61873869  0.5212187   0.62323142
  0.68051421  0.24034578  0.7599931   0.33071189  0.99340553  0.1887586
  0.21213504  1.00185211  0.53947599  0.3825114   0.82869137  0.79447502
  0.33040342  0.88730425  0.69452814 -0.00672938  0.25770113  0.14829784
  0.73681047  0.55106393  0.64680197  0.64593267  0.5942221   0.64696226
  0.21354116  0.16802957  0.46283792  0.59019987  0.37392047  1.03704367
  0.22628274  0.82461151  0.28509143  0.43576141  1.01893023  0.54736304
  0.49756877  0.20138543  0.55913942  0.35011111  0.15620403  0.1710125
  0.68390943  0.09366118  0.30736957  0.13632434  0.03679189  0.79199728
  0.0692749   0.35188779  0.24095931  0.67215375  0.28417415  0.2456518
  0.30346063  0.78318658  0.85840004  0.22129011  0.9291457   0.9987715
  0.40059222  0.18388042  0.10440819  0.22943536  0.14893334  0.1108251
  0.17176459  0.07709341  0.25933347  0.21950997  0.8943004   0.00261716
  0.55395764  0.62570375  0.79330061  0.4337782   0.09147631  0.77454921
  0.70987112  0.61386619  0.25217273  0.06270984 -0.01719431  0.85328189
  0.40975182  0.87353882  0.42454471  0.15598184  0.20881584  0.25548227
  0.63099393  0.88547676  0.42387041  0.88304393  0.52669621  0.19014514
  0.07280454  0.88693505  0.62413199  0.18049605  0.45846158  0.9732659
  0.64502849  0.84340054  0.23591889  0.12564006  0.19293215  0.66896144
  0.87837884  0.16538462  0.04815247  0.66554171  0.60694717  0.12424545
  0.65087134  0.78260664  0.8165303   0.517016    0.66457936  0.96153209
  0.93666283  0.32081826  0.12153735  0.26399608  0.39160363  0.63340547
  0.18969704  0.64242534  0.40688447  0.88235468  0.13870081  0.03784082
  0.62218149  0.03070891  0.67090586  0.68683738  0.80154142  0.94461462
  0.26613639  0.03310223  0.46908729  1.04909726  0.13948209  0.71626848
  0.3967148   0.20793242  0.16918836  0.44014053  0.92737663  0.68849415
  0.52512464  0.35355757  0.22821135  0.93810407  0.98938577  0.05049496
  0.32673119  0.83606068  0.89633863  0.88150218  0.63980485  0.54869406
  0.30751584  0.58365425  0.30115863  0.89872399  0.59168888  0.46232572
  0.30125515  0.45090076  0.12547864  0.80699653  0.50623812  0.91657336
  0.25979424  0.76360921  0.24199417  0.17750287  0.02826789  0.82429043
  0.94589969  0.8002416   0.56517931  0.80212868  0.56445994  0.22084441
  0.62120159  0.5826073  -0.00747681  0.64563959  0.94407965  0.19324687
  0.0869585   0.70909231]"
0.38671875,0.431640625,"[ 0.84821829  0.56203071  0.75232252  0.62712511  0.52960513  0.62323142
  0.68051421  0.2487322   0.75160668  0.33909831  1.00179195  0.19714503
  0.22052146  1.00185211  0.54786242  0.37412498  0.83707779  0.79447502
  0.322017    0.87891783  0.68614172  0.00165704  0.26608755  0.15668426
  0.73681047  0.55106393  0.63841555  0.65431909  0.58583568  0.64696226
  0.21354116  0.16802957  0.47122435  0.59858629  0.36553404  1.03704367
  0.22628274  0.81622509  0.29347785  0.42737499  1.02731665  0.54736304
  0.49756877  0.19299901  0.550753    0.35849753  0.1478176   0.16262608
  0.69229585  0.08527476  0.29898315  0.13632434  0.02840547  0.78361086
  0.0692749   0.34350136  0.24095931  0.67215375  0.27578773  0.25403822
  0.31184705  0.791573    0.85840004  0.21290369  0.9291457   0.99038508
  0.3922058   0.17549399  0.10440819  0.23782179  0.14893334  0.11921152
  0.16337816  0.08547983  0.25094705  0.21112355  0.90268682  0.00261716
  0.56234406  0.62570375  0.78491419  0.42539178  0.08308989  0.77454921
  0.71825754  0.60547977  0.24378631  0.06270984 -0.00880788  0.86166831
  0.40975182  0.88192524  0.41615829  0.16436827  0.20042941  0.24709585
  0.62260751  0.89386318  0.42387041  0.89143035  0.53508263  0.18175872
  0.06441812  0.87854863  0.61574557  0.18049605  0.466848    0.9732659
  0.63664207  0.84340054  0.22753247  0.12564006  0.18454573  0.66057502
  0.88676527  0.1569982   0.05653889  0.67392814  0.60694717  0.13263187
  0.64248492  0.79099306  0.8165303   0.517016    0.67296578  0.95314567
  0.93666283  0.31243184  0.11315093  0.26399608  0.39999005  0.62501905
  0.18969704  0.64242534  0.40688447  0.89074111  0.13031439  0.0294544
  0.61379507  0.03909533  0.66251943  0.6952238   0.80154142  0.95300104
  0.25774996  0.02471581  0.47747372  1.04071084  0.13109567  0.71626848
  0.38832838  0.21631884  0.16918836  0.44852695  0.91899021  0.68849415
  0.51673822  0.36194399  0.21982493  0.94649049  0.98099934  0.04210854
  0.32673119  0.84444711  0.90472505  0.87311576  0.63980485  0.55708048
  0.29912942  0.57526783  0.30954505  0.89033757  0.58330245  0.4539393
  0.30964157  0.44251434  0.13386506  0.80699653  0.51462454  0.90818694
  0.25140782  0.77199563  0.24199417  0.18588929  0.01988146  0.83267685
  0.95428612  0.80862802  0.57356574  0.80212868  0.55607352  0.21245799
  0.61281517  0.59099372 -0.00747681  0.63725316  0.95246608  0.20163329
  0.07857208  0.71747873]"
0.44140625,0.427734375,"[ 0.87189319  0.5383558   0.77599743  0.65080002  0.52960513  0.59955652
  0.70418911  0.2250573   0.72793178  0.3154234   1.02546685  0.17347012
  0.19684656  1.02552702  0.57153732  0.39779989  0.8607527   0.77080011
  0.29834209  0.90259274  0.66246681  0.00165704  0.28976246  0.15668426
  0.76048538  0.55106393  0.61474064  0.677994    0.58583568  0.64696226
  0.18986625  0.14435467  0.49489925  0.59858629  0.36553404  1.01336877
  0.20260783  0.81622509  0.26980294  0.42737499  1.05099156  0.57103795
  0.47389387  0.21667392  0.57442791  0.35849753  0.17149251  0.13895117
  0.66862095  0.06159986  0.27530824  0.13632434  0.05208038  0.80728576
  0.0692749   0.36717627  0.2172844   0.69582866  0.25211282  0.25403822
  0.31184705  0.81524791  0.88207495  0.2365786   0.9291457   1.01405998
  0.3922058   0.1991689   0.12808309  0.21414688  0.12525844  0.09553661
  0.18705307  0.08547983  0.25094705  0.18744864  0.87901191  0.02629206
  0.53866915  0.62570375  0.80858909  0.40171687  0.08308989  0.79822411
  0.69458263  0.58180486  0.24378631  0.06270984 -0.03248279  0.88534322
  0.43342672  0.85825034  0.39248338  0.18804317  0.17675451  0.22342094
  0.5989326   0.87018827  0.44754532  0.91510525  0.53508263  0.20543362
  0.06441812  0.85487372  0.61574557  0.20417096  0.4905229   0.99694081
  0.61296717  0.84340054  0.22753247  0.10196516  0.16087082  0.66057502
  0.88676527  0.1569982   0.03286399  0.69760304  0.63062207  0.10895697
  0.66615982  0.81466797  0.84020521  0.49334109  0.67296578  0.97682057
  0.93666283  0.31243184  0.11315093  0.24032117  0.39999005  0.60134414
  0.16602213  0.64242534  0.38320956  0.91441601  0.15398929  0.0531293
  0.63746998  0.01542042  0.63884453  0.6952238   0.82521633  0.97667595
  0.28142487  0.04839072  0.45379881  1.01703593  0.13109567  0.71626848
  0.36465347  0.23999375  0.16918836  0.44852695  0.94266511  0.66481924
  0.49306331  0.3856189   0.19615003  0.92281558  1.00467425  0.06578344
  0.3504061   0.86812201  0.90472505  0.84944085  0.61612994  0.58075538
  0.32280432  0.57526783  0.30954505  0.86666266  0.58330245  0.43026439
  0.33331648  0.46618925  0.15753997  0.78332163  0.51462454  0.88451203
  0.27508273  0.77199563  0.21831927  0.2095642   0.04355637  0.83267685
  0.93061121  0.83230293  0.59724064  0.82580358  0.53239861  0.2361329
  0.63649008  0.61466863  0.01619809  0.61357826  0.92879117  0.22530819
  0.07857208  0.74115364]"
0.43359375,0.4453125,"[ 0.8664266   0.5438224   0.77053083  0.65080002  0.52413853  0.59955652
  0.69872252  0.2250573   0.72793178  0.32089     1.03093345  0.17893672
  0.19137996  1.03099361  0.56607073  0.40326649  0.8552861   0.76533351
  0.29834209  0.90805934  0.65700022  0.00165704  0.28429586  0.15121767
  0.76048538  0.55106393  0.60927404  0.6834606   0.58583568  0.64149566
  0.19533285  0.14982126  0.48943266  0.60405289  0.36553404  1.00790217
  0.19714124  0.82169169  0.27526954  0.43284159  1.04552496  0.56557135
  0.46842727  0.22214052  0.56896131  0.35849753  0.17149251  0.14441777
  0.67408754  0.06706645  0.27530824  0.14179094  0.04661378  0.80181917
  0.0692749   0.36170967  0.222751    0.69036206  0.25211282  0.25950482
  0.30638045  0.80978131  0.88754155  0.2365786   0.9291457   1.00859339
  0.3867392   0.1991689   0.1226165   0.20868028  0.11979184  0.09007002
  0.18158647  0.08001324  0.25094705  0.19291524  0.88447851  0.03175866
  0.53866915  0.62023715  0.8031225   0.40171687  0.08855649  0.79275752
  0.70004923  0.58727146  0.24925291  0.05724324 -0.02701619  0.87987662
  0.43889332  0.86371693  0.39794998  0.18257658  0.17675451  0.21795435
  0.593466    0.87018827  0.45301192  0.90963866  0.53508263  0.20543362
  0.06441812  0.84940712  0.62121217  0.20963755  0.48505631  0.99147421
  0.61296717  0.84886714  0.23299907  0.10743175  0.15540422  0.65510842
  0.88129867  0.16246479  0.02739739  0.69760304  0.63062207  0.11442356
  0.66069323  0.82013457  0.84567181  0.49880769  0.67296578  0.98228717
  0.93119623  0.31789844  0.10768433  0.24578777  0.39452345  0.60681074
  0.16055554  0.64789194  0.38867616  0.91441601  0.14852269  0.04766271
  0.63746998  0.01542042  0.63884453  0.7006904   0.81974973  0.97120935
  0.28142487  0.04839072  0.44833221  1.01156933  0.12562907  0.71626848
  0.37012007  0.24546034  0.16372176  0.45399355  0.93719852  0.67028584
  0.48759671  0.3910855   0.20161662  0.92828218  1.00467425  0.07125004
  0.3504061   0.86265542  0.91019165  0.85490745  0.62159654  0.58075538
  0.32280432  0.58073443  0.31501165  0.86119606  0.57783586  0.43026439
  0.33331648  0.47165585  0.15207337  0.78332163  0.52009114  0.88451203
  0.28054932  0.77746223  0.22378586  0.2040976   0.03808977  0.83267685
  0.93061121  0.82683633  0.59177404  0.82033699  0.52693201  0.2415995
  0.63649008  0.60920203  0.0107315   0.61357826  0.92332457  0.23077479
  0.08403867  0.74115364]"
