Number of qubits: 7
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 30
Training accuracy,Test accuracy,Parameters
0.3125,0.28515625,"[0.52568146 0.46349008 0.59884043 0.88000663 0.7862432  0.170095
 0.47577075 0.90236359 0.98614562 0.07549761 0.51377568 0.61780552
 0.20942996 1.00578645 0.64394842 0.692464   0.50677863 0.28496828
 0.21387004 0.44134688 0.13315905 0.64289697 0.82074955 0.54864952
 0.55628289 0.04069842 0.96698145 0.75087151 0.64989953 0.53084984
 0.84864613 0.95799657 0.30965807 0.45482539 0.97645617 0.85852129
 0.56693915 0.96789154 0.0289493  0.77508696]"
0.341796875,0.322265625,"[0.51790018 0.47127136 0.59105915 0.88778791 0.77846192 0.16231372
 0.47577075 0.89458231 0.9939269  0.06771633 0.52155696 0.61780552
 0.21721124 1.00578645 0.6517297  0.68468272 0.51455991 0.28496828
 0.20608876 0.44134688 0.14094033 0.65067825 0.82074955 0.54864952
 0.56406417 0.03291714 0.95920017 0.75865279 0.64989953 0.53863111
 0.85642741 0.96577785 0.3018768  0.44704411 0.96867489 0.85852129
 0.56693915 0.97567282 0.03673058 0.78286824]"
0.396484375,0.375,"[0.53106302 0.4844342  0.60422199 0.87462507 0.79162476 0.14915088
 0.48893359 0.89458231 0.98076406 0.06771633 0.52155696 0.63096835
 0.23037408 0.99262361 0.6517297  0.67151988 0.52772275 0.29813112
 0.21925159 0.44134688 0.15410317 0.65067825 0.80758671 0.54864952
 0.55090134 0.04607998 0.94603734 0.74548996 0.63673669 0.55179395
 0.84326457 0.96577785 0.3018768  0.43388127 0.96867489 0.87168412
 0.55377631 0.96250999 0.04989342 0.7697054 ]"
0.375,0.375,"[0.56993847 0.52330966 0.60422199 0.83574962 0.79162476 0.14915088
 0.48893359 0.93345776 1.01963952 0.02884087 0.4826815  0.66984381
 0.26924953 1.03149907 0.61285425 0.71039534 0.48884729 0.29813112
 0.18037614 0.48022233 0.19297863 0.65067825 0.76871126 0.50977406
 0.55090134 0.00720452 0.90716188 0.78436541 0.67561215 0.59066941
 0.84326457 0.92690239 0.34075225 0.47275673 0.92979943 0.91055958
 0.51490086 0.96250999 0.04989342 0.80858086]"
0.40625,0.38671875,"[ 0.5598831   0.51325428  0.59416662  0.83574962  0.80168013  0.15920625
  0.49898896  0.92340239  1.00958414  0.0187855   0.47262613  0.67989918
  0.25919416  1.04155444  0.61285425  0.72045071  0.47879192  0.29813112
  0.19043151  0.4902777   0.18292325  0.64062288  0.76871126  0.49971869
  0.54084596 -0.00285085  0.91721725  0.78436541  0.68566752  0.59066941
  0.85331994  0.91684702  0.33069688  0.47275673  0.93985481  0.91055958
  0.50484548  0.95245461  0.04989342  0.80858086]"
0.3984375,0.388671875,"[0.52232303 0.47569421 0.55660655 0.79818955 0.76412006 0.15920625
 0.46142889 0.96096246 0.97202407 0.05634557 0.43506606 0.64233911
 0.25919416 1.04155444 0.57529418 0.75801078 0.47879192 0.33569119
 0.22799158 0.52783777 0.18292325 0.60306281 0.76871126 0.49971869
 0.50328589 0.03470922 0.87965718 0.78436541 0.64810745 0.62822948
 0.89088001 0.87928695 0.29313681 0.5103168  0.97741488 0.94811965
 0.54240556 0.95245461 0.04989342 0.77102079]"
0.408203125,0.392578125,"[0.51543185 0.46880304 0.55660655 0.79818955 0.77101124 0.16609743
 0.46142889 0.96785363 0.97891525 0.05634557 0.44195723 0.64233911
 0.26608534 1.04844561 0.58218535 0.75111961 0.48568309 0.34258236
 0.22110041 0.52783777 0.17603208 0.60306281 0.76182008 0.49282751
 0.49639472 0.04160039 0.88654835 0.77747424 0.64810745 0.63512065
 0.89777119 0.88617812 0.28624563 0.5103168  0.98430605 0.95501083
 0.54240556 0.94556344 0.04300224 0.76412961]"
0.416015625,0.39453125,"[0.52228786 0.47565904 0.55660655 0.80504555 0.76415523 0.16609743
 0.4682849  0.96099763 0.98577125 0.06320158 0.44195723 0.64919511
 0.25922933 1.04844561 0.58904135 0.75797561 0.48568309 0.33572636
 0.2142444  0.52783777 0.17603208 0.60306281 0.76867609 0.49968352
 0.50325072 0.0484564  0.89340436 0.78433024 0.64125145 0.64197666
 0.90462719 0.87932212 0.28624563 0.51717281 0.97745005 0.94815482
 0.54240556 0.93870744 0.03614624 0.75727361]"
0.390625,0.400390625,"[0.49824402 0.47565904 0.53256271 0.80504555 0.78819907 0.19014126
 0.44424106 0.96099763 0.96172742 0.08724541 0.44195723 0.64919511
 0.28327317 1.04844561 0.56499752 0.73393178 0.50972693 0.31168252
 0.19020057 0.55188161 0.15198825 0.60306281 0.76867609 0.47563968
 0.52729456 0.07250023 0.86936052 0.76028641 0.64125145 0.66602049
 0.88058336 0.90336595 0.2622018  0.49312897 0.95340621 0.97219866
 0.51836172 0.96275127 0.03614624 0.73322977]"
0.38671875,0.390625,"[0.49824402 0.48857707 0.53256271 0.80504555 0.8011171  0.20305929
 0.44424106 0.96099763 0.94880938 0.07432738 0.45487526 0.66211315
 0.27035513 1.04844561 0.57791555 0.72101375 0.49680889 0.29876449
 0.17728254 0.53896358 0.13907021 0.61598084 0.78159412 0.48855771
 0.52729456 0.0595822  0.88227856 0.77320444 0.62833341 0.66602049
 0.86766532 0.89044792 0.27511983 0.48021094 0.95340621 0.97219866
 0.50544369 0.94983324 0.04906427 0.74614781]"
